image,green_dy,green_dx,red_dy,red_dx,seconds,output
cathedral.jpg,5,2,12,3,0.1,output/pyramid_l2_cathedral.jpg
monastery.jpg,-3,2,3,2,0.055,output/pyramid_l2_monastery.jpg
tobolsk.jpg,3,3,6,3,0.059,output/pyramid_l2_tobolsk.jpg
boy.tif,45,-13,103,-11,4.047,output/pyramid_l2_boy.jpg
camel.tif,20,15,81,38,3.674,output/pyramid_l2_camel.jpg
carving.tif,51,0,125,-13,3.789,output/pyramid_l2_carving.jpg
church.tif,25,4,59,-4,3.63,output/pyramid_l2_church.jpg
emir.tif,49,24,101,58,3.747,output/pyramid_l2_emir.jpg
group.tif,33,7,113,15,3.762,output/pyramid_l2_group.jpg
harvesters.tif,59,16,124,13,3.648,output/pyramid_l2_harvesters.jpg
icon.tif,41,17,90,23,3.763,output/pyramid_l2_icon.jpg
ilemselga.tif,40,7,130,11,3.867,output/pyramid_l2_ilemselga.jpg
melons.tif,82,11,178,13,3.914,output/pyramid_l2_melons.jpg
religous_painting.tif,28,3,68,7,3.939,output/pyramid_l2_religous_painting.jpg
self_portrait.tif,79,29,176,37,3.846,output/pyramid_l2_self_portrait.jpg
siren.tif,49,-6,96,-25,3.86,output/pyramid_l2_siren.jpg
three_generations.tif,53,14,112,11,3.737,output/pyramid_l2_three_generations.jpg
wharf.tif,15,-7,83,-16,3.829,output/pyramid_l2_wharf.jpg
