image,green_dy,green_dx,red_dy,red_dx,seconds,output
cathedral.jpg,5,2,12,3,0.822,output/pyramid_ncc_cathedral.jpg
monastery.jpg,-3,2,3,2,0.687,output/pyramid_ncc_monastery.jpg
tobolsk.jpg,3,3,6,3,0.696,output/pyramid_ncc_tobolsk.jpg
boy.tif,45,-13,103,-11,7.814,output/pyramid_ncc_boy.jpg
camel.tif,19,15,80,38,6.968,output/pyramid_ncc_camel.jpg
carving.tif,51,0,125,-13,7.265,output/pyramid_ncc_carving.jpg
church.tif,25,4,58,-4,7.112,output/pyramid_ncc_church.jpg
emir.tif,49,24,96,-250,6.416,output/pyramid_ncc_emir.jpg
group.tif,33,8,113,15,6.963,output/pyramid_ncc_group.jpg
harvesters.tif,60,17,124,14,6.806,output/pyramid_ncc_harvesters.jpg
icon.tif,41,17,89,23,7.136,output/pyramid_ncc_icon.jpg
ilemselga.tif,40,7,130,11,7.634,output/pyramid_ncc_ilemselga.jpg
melons.tif,82,11,178,13,6.792,output/pyramid_ncc_melons.jpg
religous_painting.tif,28,3,68,7,6.567,output/pyramid_ncc_religous_painting.jpg
self_portrait.tif,79,29,176,37,6.57,output/pyramid_ncc_self_portrait.jpg
siren.tif,49,-6,96,-25,7.202,output/pyramid_ncc_siren.jpg
three_generations.tif,53,14,112,11,7.135,output/pyramid_ncc_three_generations.jpg
wharf.tif,15,-7,83,-16,7.01,output/pyramid_ncc_wharf.jpg
